กลุ่มยา,ชื่อสามัญ,รูปแบบยา/ความแรง,ขนาดบรรจุ,รูปแบบยา,ความแรง,หน่วยความแรง,ขนาดบรรจุ,หน่วยขนาดบรรจุ,ราคากลาง(รวมภาษีมูลค่าเพิ่ม)(บาท),หมายเหตุ
3. กลุ่มยา Anti-neoplastic drugs,Docetaxel ,sterile sol 20 mg,1 ไวแอล,,,,,,1050.00006825,
3. กลุ่มยา Anti-neoplastic drugs,Docetaxel ,sterile sol 80 mg,1 ไวแอล,,,,,,3998.5902599084,
3. กลุ่มยา Anti-neoplastic drugs,Docetaxel ,sterile sol 120 mg,1 ไวแอล,,,,,,5599.6603639779,
3. กลุ่มยา Anti-neoplastic drugs,Doxorubicin hydrochloride,sterile sol 10 mg/5 ml,1 ไวแอล,,,,,,101,
3. กลุ่มยา Anti-neoplastic drugs,Doxorubicin hydrochloride,sterile sol 50 mg/25 ml,1 ไวแอล,,,,,,321,
3. กลุ่มยา Anti-neoplastic drugs,Doxorubicin hydrochloride,sterile pwdr 10 mg,1 ไวแอล,,,,,,101,
3. กลุ่มยา Anti-neoplastic drugs,Doxorubicin hydrochloride,sterile pwdr 50 mg,1 ไวแอล,,,,,,321,
3. กลุ่มยา Anti-neoplastic drugs,Doxorubicin hydrochloride in a pegylated liposomal formulation,sterile susp 20 mg,1 ไวแอล,,,,,,12412.00080678,
3. กลุ่มยา Anti-neoplastic drugs,Enzalutamide,cap 40 mg,1 แคปซูล,,,,,,1031.79,
3. กลุ่มยา Anti-neoplastic drugs,Eribulin mesilate,sterile sol 1 mg/2 ml,1 ไวแอล,,,,,,10646.5,
3. กลุ่มยา Anti-neoplastic drugs,Erlotinib hydrochloride,tab 100 mg,1 เม็ด,,,,,,499.33,
3. กลุ่มยา Anti-neoplastic drugs,Erlotinib hydrochloride,tab 150 mg,1 เม็ด,,,,,,588.5,
3. กลุ่มยา Anti-neoplastic drugs,Everolimus,tab 2.5 mg,1 เม็ด,,,,,,469.1,
3. กลุ่มยา Anti-neoplastic drugs,Everolimus,tab 5 mg,1 เม็ด,,,,,,3320.4,
3. กลุ่มยา Anti-neoplastic drugs,Everolimus,tab 10 mg,1 เม็ด,,,,,,4743.5,
3. กลุ่มยา Anti-neoplastic drugs,Exemestane,tab 25 mg,1 เม็ด,,,,,,101.12,
3. กลุ่มยา Anti-neoplastic drugs,Fludarabine phosphate,sterile pwdr 50 mg,1 ไวแอล,,,,,,4574.25,
3. กลุ่มยา Anti-neoplastic drugs,Flutamide,tab 250 mg,1 เม็ด,,,,,,27,
3. กลุ่มยา Anti-neoplastic drugs,Fulvestrant,sterile sol 250 mg/5 ml ,1 pre-filled syringe,,,,,,13562.82,
3. กลุ่มยา Anti-neoplastic drugs,Gefitinib,tab 250 mg,1 เม็ด,,,,,,599.98,
3. กลุ่มยา Anti-neoplastic drugs,Gemcitabine hydrochloride,sterile pwdr 200 mg,1 ไวแอล,,,,,,535.000034775,
3. กลุ่มยา Anti-neoplastic drugs,Gemcitabine hydrochloride,sterile pwdr 1 g,1 ไวแอล,,,,,,1605.000104325,
3. กลุ่มยา Anti-neoplastic drugs,Gemcitabine hydrochloride,sterile pwdr 1.4 g,1 ไวแอล,,,,,,2247.000146055,
3. กลุ่มยา Anti-neoplastic drugs,Gemcitabine hydrochloride,sterile sol 200 mg,1 ไวแอล,,,,,,535.000034775,
3. กลุ่มยา Anti-neoplastic drugs,Gemcitabine hydrochloride,sterile sol 1 g,1 ไวแอล,,,,,,1605.000104325,
3. กลุ่มยา Anti-neoplastic drugs,Imatinib mesilate ,tab 100 mg ,1 เม็ด,,,,,,455.39,
3. กลุ่มยา Anti-neoplastic drugs,Imatinib mesilate ,tab 400 mg ,1 เม็ด,,,,,,1821.57,
3. กลุ่มยา Anti-neoplastic drugs,Irinotecan hydrochloride,sterile sol 40 mg/2 ml,1 ไวแอล,,,,,,1177.000076505,
3. กลุ่มยา Anti-neoplastic drugs,Irinotecan hydrochloride,sterile sol 100 mg/5 ml,1 ไวแอล,,,,,,2934.5001907425,
3. กลุ่มยา Anti-neoplastic drugs,Irinotecan hydrochloride,sterile sol 300 mg/15 ml,1 ไวแอล,,,,,,8803.5005722275,
3. กลุ่มยา Anti-neoplastic drugs,Lapatinib ditosylate,tab 250 mg,1 เม็ด,,,,,,261.25,
3. กลุ่มยา Anti-neoplastic drugs,Lenalidomide ,cap 5 mg,42 แคปซูล,,,,,,126393.75,
3. กลุ่มยา Anti-neoplastic drugs,Lenalidomide ,cap 10 mg,42 แคปซูล,,,,,,126393.75,
3. กลุ่มยา Anti-neoplastic drugs,Lenalidomide ,cap 15 mg,42 แคปซูล,,,,,,126393.75,
3. กลุ่มยา Anti-neoplastic drugs,Lenalidomide ,cap 25 mg,42 แคปซูล,,,,,,126393.75,
3. กลุ่มยา Anti-neoplastic drugs,Letrozole,tab 2.5 mg,1 เม็ด,,,,,,29.6,
3. กลุ่มยา Anti-neoplastic drugs,Nilotinib hydrochloride,cap 200 mg,56 แคปซูล,,,,,,41623,
3. กลุ่มยา Anti-neoplastic drugs,Nilotinib hydrochloride,cap 150 mg,1 แคปซูล,,,,,,743.27,
3. กลุ่มยา Anti-neoplastic drugs,Oxaliplatin,sterile pwdr 50 mg,1 ไวแอล,,,,,,1500.0000975,
3. กลุ่มยา Anti-neoplastic drugs,Oxaliplatin,sterile pwdr 100 mg,1 ไวแอล,,,,,,2132.5101386132,
3. กลุ่มยา Anti-neoplastic drugs,Oxaliplatin,sterile pwdr 150 mg,1 ไวแอล,,,,,,3632.5102361132,
3. กลุ่มยา Anti-neoplastic drugs,Oxaliplatin ,sterile sol 50 mg,1 ไวแอล,,,,,,1600.000104,
3. กลุ่มยา Anti-neoplastic drugs,Oxaliplatin ,sterile sol 100 mg,1 ไวแอล,,,,,,2132.5101386132,
3. กลุ่มยา Anti-neoplastic drugs,Oxaliplatin ,sterile sol 150 mg,1 ไวแอล,,,,,,3732.5102426132,
3. กลุ่มยา Anti-neoplastic drugs,Oxaliplatin ,sterile sol 200 mg,1 ไวแอล,,,,,,4265.0202772263,
3. กลุ่มยา Anti-neoplastic drugs,Paclitaxel,sterile sol 30 mg,1 ไวแอล,,,,,,360.59002343835,
3. กลุ่มยา Anti-neoplastic drugs,Paclitaxel,sterile sol 100 mg,1 ไวแอล,,,,,,1193.5000775775,
3. กลุ่มยา Anti-neoplastic drugs,Paclitaxel,sterile sol 150 mg,1 ไวแอล,,,,,,1692.400110006,
3. กลุ่มยา Anti-neoplastic drugs,Paclitaxel,sterile sol 260 mg,1 ไวแอล,,,,,,1692.400110006,
3. กลุ่มยา Anti-neoplastic drugs,Paclitaxel,sterile sol 300 mg,1 ไวแอล,,,,,,1854.7901205614,
3. กลุ่มยา Anti-neoplastic drugs,Paclitaxel formulated as albumin bound nanoparticles,sterile pwdr for susp 100 mg,1 ไวแอล,,,,,,15035.000977275,
3. กลุ่มยา Anti-neoplastic drugs,Paclitaxel polymeric micelle,sterile pwdr 30 mg,1 ไวแอล,,,,,,3263.5,
3. กลุ่มยา Anti-neoplastic drugs,Paclitaxel polymeric micelle,sterile pwdr 100 mg,1 ไวแอล,,,,,,9951,
3. กลุ่มยา Anti-neoplastic drugs,Pemetrexed disodium,sterile pwdr 100 mg,1 ไวแอล,,,,,,8303.2,
3. กลุ่มยา Anti-neoplastic drugs,Pemetrexed disodium,sterile pwdr 500 mg,1 ไวแอล,,,,,,31993,
3. กลุ่มยา Anti-neoplastic drugs,Pomalidomide,cap 1 mg,42 แคปซูล,,,,,,190246,
3. กลุ่มยา Anti-neoplastic drugs,Pomalidomide,cap 2 mg,42 แคปซูล,,,,,,190246,
3. กลุ่มยา Anti-neoplastic drugs,Pomalidomide,cap 3 mg,42 แคปซูล,,,,,,190246,
3. กลุ่มยา Anti-neoplastic drugs,Pomalidomide,cap 4 mg,42 แคปซูล,,,,,,190246,
3. กลุ่มยา Anti-neoplastic drugs,Regorafenib,tab 40 mg,1 เม็ด,,,,,,1816.98,
3. กลุ่มยา Anti-neoplastic drugs,Ruxolitinib phosphate,tab 5 mg,1 เม็ด,,,,,,1159.61,
3. กลุ่มยา Anti-neoplastic drugs,Ruxolitinib phosphate,tab 15 mg,1 เม็ด,,,,,,2319.23,
3. กลุ่มยา Anti-neoplastic drugs,Ruxolitinib phosphate,tab 20 mg,1 เม็ด,,,,,,2319.23,
3. กลุ่มยา Anti-neoplastic drugs,Tegafur-uracil,cap 100 + 224 mg,1 แคปซูล,,,,,,56,
3. กลุ่มยา Anti-neoplastic drugs,Temozolomide,cap 5 mg,1 แคปซูล,,,,,,107.000006955,
3. กลุ่มยา Anti-neoplastic drugs,Temozolomide,cap 100 mg,1 แคปซูล,,,,,,2033.000132145,
3. กลุ่มยา Anti-neoplastic drugs,Temozolomide,cap 250 mg,1 แคปซูล,,,,,,4494.00029211,
3. กลุ่มยา Anti-neoplastic drugs,Temozolomide ,cap 20 mg,1 แคปซูล,,,,,,428.00002782,
3. กลุ่มยา Anti-neoplastic drugs,Trastuzumab,sterile pwdr 150 mg,1 ไวแอล,,,,,,15340.59,
3. กลุ่มยา Anti-neoplastic drugs,Trastuzumab,sterile pwdr 440 mg,1 ไวแอล,,,,,,44999.92,
3. กลุ่มยา Anti-neoplastic drugs,Trastuzumab emtansine ,sterile pwdr 100 mg,1 ไวแอล,,,,,,62595,
3. กลุ่มยา Anti-neoplastic drugs,Trastuzumab emtansine ,sterile pwdr 160 mg,1 ไวแอล,,,,,,101115,
3. กลุ่มยา Anti-neoplastic drugs,Vinorelbine tartrate,cap 20 mg,1 แคปซูล,,,,,,3317,
3. กลุ่มยา Anti-neoplastic drugs,Vinorelbine tartrate,cap 30 mg,1 แคปซูล,,,,,,4815,
3. กลุ่มยา Anti-neoplastic drugs,Vinorelbine tartrate,sterile sol 10 mg/1 ml,1 ไวแอล,,,,,,1980,
3. กลุ่มยา Anti-neoplastic drugs,Vinorelbine tartrate,sterile sol 50 mg/5 ml,1 ไวแอล,,,,,,7944.75,
4.1 กลุ่มยา Anticoagulants ชนิดรับประทาน,Apixaban,tab 2.5 mg,1 เม็ด,,,,,,48.15,
4.1 กลุ่มยา Anticoagulants ชนิดรับประทาน,Apixaban,tab 5 mg,1 เม็ด,,,,,,48.15,
4.1 กลุ่มยา Anticoagulants ชนิดรับประทาน,Dabigatran ,cap 75 mg,1 แคปซูล,,,,,,50.56,
4.1 กลุ่มยา Anticoagulants ชนิดรับประทาน,Dabigatran ,cap 110 mg,1 แคปซูล,,,,,,50.56,
4.1 กลุ่มยา Anticoagulants ชนิดรับประทาน,Dabigatran ,cap 150 mg,1 แคปซูล,,,,,,50.56,
4.1 กลุ่มยา Anticoagulants ชนิดรับประทาน,Rivaroxaban,tab 10 mg,1 เม็ด,,,,,,91.8,
4.1 กลุ่มยา Anticoagulants ชนิดรับประทาน,Rivaroxaban,tab 15 mg,1 เม็ด,,,,,,91.8,
4.1 กลุ่มยา Anticoagulants ชนิดรับประทาน,Rivaroxaban,tab 20 mg,1 เม็ด,,,,,,91.8,
4.1 กลุ่มยา Anticoagulants ชนิดรับประทาน,Warfarin sodium ,tab 1 mg,1 เม็ด,,,,,,1.35,
4.1 กลุ่มยา Anticoagulants ชนิดรับประทาน,Warfarin sodium ,tab 2 mg,1 เม็ด,,,,,,1.45,
4.1 กลุ่มยา Anticoagulants ชนิดรับประทาน,Warfarin sodium ,tab 3 mg,1 เม็ด,,,,,,3.64,
4.1 กลุ่มยา Anticoagulants ชนิดรับประทาน,Warfarin sodium ,tab 4 mg,1 เม็ด,,,,,,2.4,
4.1 กลุ่มยา Anticoagulants ชนิดรับประทาน,Warfarin sodium ,tab 5 mg,1 เม็ด,,,,,,3.7,
4.2 กลุ่มยา Anticoagulants ชนิดฉีด,Enoxaparin sodium ,sterile sol 40 mg/0.4 ml ,0.4 ml,,,,,,200.09,
4.2 กลุ่มยา Anticoagulants ชนิดฉีด,Enoxaparin sodium ,sterile sol 60 mg/0.6 ml ,0.6 ml,,,,,,241.82,
4.2 กลุ่มยา Anticoagulants ชนิดฉีด,Fondaparinux sodium,sterile sol 2.5 mg/0.5 ml,0.5 ml,,,,,,208.65,
5. กลุ่มยา other vasodilators,Sildenafil citrate,tab 20 mg ,1 เม็ด,,,,,,44.94,
6.1 กลุ่มยา Insulins and analogues,Insulin aspart,sterile sol 100 iu/1 ml (3 ml),1 หลอด,,,,,,176.55,
6.1 กลุ่มยา Insulins and analogues,Insulin aspart,sterile sol 100 iu/1 ml (3 ml),1 ด้าม,,,,,,317.79,
6.1 กลุ่มยา Insulins and analogues,Insulin lispro,sterile sol 100 iu/1 ml (3 ml),1 หลอด,,,,,,176.55,
6.1 กลุ่มยา Insulins and analogues,Insulin glulisine,sterile sol 100 iu/1 ml ( 3 ml),1 ด้าม,,,,,,181.69,
6.1 กลุ่มยา Insulins and analogues,"Soluble insulin 
(Neutral insulin; insulin injection)",sterile sol 100 iu/1 ml (3 ml),1 หลอด,,,,,,75.33,
6.1 กลุ่มยา Insulins and analogues,"Soluble insulin 
(Neutral insulin; insulin injection)",sterile sol 100 iu/1 ml (10 ml),1 ไวแอล,,,,,,125,
6.1 กลุ่มยา Insulins and analogues,"Isophane insulin 
(NPH; Isophane protamine insulin)",sterile susp 100 iu/1 ml (3 ml),1 หลอด,,,,,,78.11,
6.1 กลุ่มยา Insulins and analogues,"Isophane insulin 
(NPH; Isophane protamine insulin)",sterile susp 100 iu/1 ml (10 ml),1 ไวแอล,,,,,,125,
6.1 กลุ่มยา Insulins and analogues,"Insulin aspart 30% + 
Insulin aspart protamine 70%",sterile susp 100 iu/1 ml (3 ml),1 หลอด,,,,,,176.55,
6.1 กลุ่มยา Insulins and analogues,"Insulin aspart 30% + 
Insulin aspart protamine 70%",sterile susp 100 iu/1 ml (3 ml),1 ด้าม,,,,,,317.79,
6.1 กลุ่มยา Insulins and analogues,"Insulin lispro 25% + 
Insulin lispro protamine 75%",sterile susp 100 iu/1 ml (3 ml),1 หลอด,,,,,,176.55,
6.1 กลุ่มยา Insulins and analogues,"Insulin lispro 25% + 
Insulin lispro protamine 75%",sterile susp 100 iu/1 ml (3 ml),1 ด้าม,,,,,,317.79,
6.1 กลุ่มยา Insulins and analogues,"Biphasic isophane insulin
(Soluble insulin 30% + Isophane insulin 70%)",sterile susp 100 iu/1 ml (3 ml),1 หลอด,,,,,,78.11,
6.1 กลุ่มยา Insulins and analogues,"Biphasic isophane insulin
(Soluble insulin 30% + Isophane insulin 70%)",sterile susp 100 iu/1 ml (10 ml),1 ไวแอล,,,,,,125,
6.1 กลุ่มยา Insulins and analogues,"Biphasic isophane insulin
(Soluble insulin 50% + Isophane insulin 50%)",sterile susp 100 iu/1 ml (3 ml),1 หลอด,,,,,,114,
6.1 กลุ่มยา Insulins and analogues,Insulin detemir,sterile sol 100 iu/1 ml (3 ml),1 ด้าม,,,,,,481.5,
6.1 กลุ่มยา Insulins and analogues,Insulin glargine,sterile sol 100 iu/1 ml (3 ml),1 หลอด,,,,,,362.3,
6.1 กลุ่มยา Insulins and analogues,Insulin glargine,sterile sol 100 iu/1 ml (3 ml),1 ด้าม,,,,,,481.5,
6.1 กลุ่มยา Insulins and analogues,Insulin glargine,sterile sol 100 iu/1 ml (10 ml),1 ไวแอล,,,,,,1791.18,
6.1 กลุ่มยา Insulins and analogues,Insulin degludec,sterile sol 100 iu/1 ml (3 ml),1 ด้าม,,,,,,856,
6.1 กลุ่มยา Insulins and analogues,Insulin degludec,sterile sol 200 iu/1 ml (3 ml),1 ด้าม,,,,,,1712,
"6.2 กลุ่มยา Blood glucose lowering drugs, exclude insulins สูตรยาเดี่ยว",Chlorpropamide,tab 250 mg,1 เม็ด,,,,,,0.31,
"6.2 กลุ่มยา Blood glucose lowering drugs, exclude insulins สูตรยาเดี่ยว",Glibenclamide,tab 5 mg,1 เม็ด,,,,,,0.25,
"6.2 กลุ่มยา Blood glucose lowering drugs, exclude insulins สูตรยาเดี่ยว",Glipizide,tab 5 mg,1 เม็ด,,,,,,0.23,
"6.2 กลุ่มยา Blood glucose lowering drugs, exclude insulins สูตรยาเดี่ยว",Gliclazide,tab 80 mg,1 เม็ด,,,,,,0.88,
"6.2 กลุ่มยา Blood glucose lowering drugs, exclude insulins สูตรยาเดี่ยว",Gliclazide,SR tab 30 mg,1 เม็ด,,,,,,2.15,
"6.2 กลุ่มยา Blood glucose lowering drugs, exclude insulins สูตรยาเดี่ยว",Gliclazide,ER tab 60 mg,1 เม็ด,,,,,,10.7,
"6.2 กลุ่มยา Blood glucose lowering drugs, exclude insulins สูตรยาเดี่ยว",Glimepiride,tab 1 mg,1 เม็ด,,,,,,1.88,
"6.2 กลุ่มยา Blood glucose lowering drugs, exclude insulins สูตรยาเดี่ยว",Glimepiride,tab 2 mg,1 เม็ด,,,,,,3.75,
"6.2 กลุ่มยา Blood glucose lowering drugs, exclude insulins สูตรยาเดี่ยว",Glimepiride,tab 3 mg,1 เม็ด,,,,,,5.14,
"6.2 กลุ่มยา Blood glucose lowering drugs, exclude insulins สูตรยาเดี่ยว",Glimepiride,tab 4 mg,1 เม็ด,,,,,,7.06,
"6.2 กลุ่มยา Blood glucose lowering drugs, exclude insulins สูตรยาเดี่ยว",Metformin hydrochloride,ER tab 750 mg,1 เม็ด,,,,,,6.13,
"6.2 กลุ่มยา Blood glucose lowering drugs, exclude insulins สูตรยาเดี่ยว",Metformin hydrochloride,ER tab 1000 mg,1 เม็ด,,,,,,7.13,
"6.2 กลุ่มยา Blood glucose lowering drugs, exclude insulins สูตรยาเดี่ยว",Pioglitazone hydrochloride,tab 15 mg,1 เม็ด,,,,,,0.95,
"6.2 กลุ่มยา Blood glucose lowering drugs, exclude insulins สูตรยาเดี่ยว",Pioglitazone hydrochloride,tab 30 mg,1 เม็ด,,,,,,1.83,
"6.2 กลุ่มยา Blood glucose lowering drugs, exclude insulins สูตรยาเดี่ยว",Pioglitazone hydrochloride,tab 45 mg,1 เม็ด,,,,,,2.85,
"6.2 กลุ่มยา Blood glucose lowering drugs, exclude insulins สูตรยาเดี่ยว",Acarbose,tab 50 mg,1 เม็ด,,,,,,3.21,
"6.2 กลุ่มยา Blood glucose lowering drugs, exclude insulins สูตรยาเดี่ยว",Acarbose,tab 100 mg,1 เม็ด,,,,,,5.43,
"6.2 กลุ่มยา Blood glucose lowering drugs, exclude insulins สูตรยาเดี่ยว",Voglibose,orodispersible tab 0.2 mg,1 เม็ด,,,,,,3.43,
"6.2 กลุ่มยา Blood glucose lowering drugs, exclude insulins สูตรยาเดี่ยว",Voglibose,orodispersible tab 0.3 mg,1 เม็ด,,,,,,4.96,
"6.2 กลุ่มยา Blood glucose lowering drugs, exclude insulins สูตรยาเดี่ยว",Exenatide,"sterile sol 0.25 mg/1 ml (1.2 ml)
(5 mcg/dose, 60 doses)",1 ด้าม/กล่อง,,,,,,1725.89,
"6.2 กลุ่มยา Blood glucose lowering drugs, exclude insulins สูตรยาเดี่ยว",Exenatide,"sterile sol 0.25 mg/ml (2.4 ml)
(10 mcg/dose, 60 doses)",1 ด้าม/กล่อง,,,,,,2346.31,
"6.2 กลุ่มยา Blood glucose lowering drugs, exclude insulins สูตรยาเดี่ยว",Liraglutide,sterile sol 6 mg/1 ml (3 ml),1 ด้าม,,,,,,2407.5,
"6.2 กลุ่มยา Blood glucose lowering drugs, exclude insulins สูตรยาเดี่ยว",Lixisenatide,sterile sol 50 mcg/1 ml (3 ml),1 ด้าม,,,,,,1201.35,
"6.2 กลุ่มยา Blood glucose lowering drugs, exclude insulins สูตรยาเดี่ยว",Lixisenatide,sterile sol 100 mcg/1 ml (3 ml),1 ด้าม,,,,,,1201.35,
"6.2 กลุ่มยา Blood glucose lowering drugs, exclude insulins สูตรยาเดี่ยว",Mitiglinide,tab 10 mg,1 เม็ด,,,,,,6.34,
"6.2 กลุ่มยา Blood glucose lowering drugs, exclude insulins สูตรยาเดี่ยว",Repaglinide,tab 0.5 mg,1 เม็ด,,,,,,7.01,
"6.2 กลุ่มยา Blood glucose lowering drugs, exclude insulins สูตรยาเดี่ยว",Repaglinide,tab 1 mg,1 เม็ด,,,,,,7.01,
"6.2 กลุ่มยา Blood glucose lowering drugs, exclude insulins สูตรยาเดี่ยว",Repaglinide,tab 2 mg,1 เม็ด,,,,,,7.01,
"6.2 กลุ่มยา Blood glucose lowering drugs, exclude insulins สูตรยาเดี่ยว",Alogliptin,tab 25 mg,1 เม็ด,,,,,,34.24,
"6.2 กลุ่มยา Blood glucose lowering drugs, exclude insulins สูตรยาเดี่ยว",Linagliptin,tab 5 mg,1 เม็ด,,,,,,37.72,
"6.2 กลุ่มยา Blood glucose lowering drugs, exclude insulins สูตรยาเดี่ยว",Saxagliptin,tab 5 mg,1 เม็ด,,,,,,32.5,
"6.2 กลุ่มยา Blood glucose lowering drugs, exclude insulins สูตรยาเดี่ยว",Saxagliptin,tab 2.5 mg,1 เม็ด,,,,,,16.25,
"6.2 กลุ่มยา Blood glucose lowering drugs, exclude insulins สูตรยาเดี่ยว",Sitagliptin,tab 25 mg,1 เม็ด,,,,,,8.17,
"6.2 กลุ่มยา Blood glucose lowering drugs, exclude insulins สูตรยาเดี่ยว",Sitagliptin,tab 50 mg,1 เม็ด,,,,,,19.68,
"6.2 กลุ่มยา Blood glucose lowering drugs, exclude insulins สูตรยาเดี่ยว",Sitagliptin,tab 100 mg,1 เม็ด,,,,,,32.68,
"6.2 กลุ่มยา Blood glucose lowering drugs, exclude insulins สูตรยาเดี่ยว",Vildagliptin,tab 50 mg,1 เม็ด,,,,,,19.6,
"6.2 กลุ่มยา Blood glucose lowering drugs, exclude insulins สูตรยาเดี่ยว",Canagliflozin,tab 100 mg,1 เม็ด,,,,,,44.94,
"6.2 กลุ่มยา Blood glucose lowering drugs, exclude insulins สูตรยาเดี่ยว",Canagliflozin,tab 300 mg,1 เม็ด,,,,,,80.89,
"6.2 กลุ่มยา Blood glucose lowering drugs, exclude insulins สูตรยาเดี่ยว",Dapagliflozin,tab 5 mg,1 เม็ด,,,,,,22.47,
"6.2 กลุ่มยา Blood glucose lowering drugs, exclude insulins สูตรยาเดี่ยว",Dapagliflozin,tab 10 mg,1 เม็ด,,,,,,44.94,
